LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID35120,35120,131,36.73729705810547,11.390871426143859,18.718654063611666,0.0,10.252625573426485,209,0.75,1,,605.7837837837837,591.0,488.0,779.0,22414.0,73.51233272766592,30838.945945945947,30175.0,25681.0,36646.0,1141041.0,2916.5378347351234,0.059832976881556164,0.9304448092071873,0.0010975283783075575,0.02318468907336011
ID32817,32817,131,24.55838394165039,10.92094891155788,18.691286079483188,0.0,4.120672479271889,84,0.75,1,,597.4594594594595,582.0,507.0,875.0,22106.0,79.48081340612777,28606.18918918919,28109.0,21660.0,36646.0,1058429.0,3805.4965060629943,0.04745194824484151,0.6810767789445259,-0.013403639089375106,-0.20424991798940897
ID32562,32562,131,35.996463775634766,11.100332701146538,18.310793496848067,0.0,3.7282274812459946,76,0.75,1,,607.1081081081081,578.0,500.0,816.0,22463.0,80.64041714225489,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.05148616278431262,0.7372762203025413,0.025961096999457735,0.3666860968476918
ID32054,32054,131,34.16556167602539,11.46146316244018,18.194118279877483,0.0,2.6980593614280224,55,0.75,1,,599.1891891891892,580.0,479.0,858.0,22170.0,85.6458592881945,33141.27027027027,33159.0,25681.0,41145.0,1226227.0,3831.2388310415313,0.05166436668680426,0.6873873645050389,0.04341030749828611,0.7197764943659194
ID33078,33078,131,44.10661315917969,11.154270899384507,18.40546829062705,0.0,4.8074512258172035,98,0.75,1,,624.7837837837837,605.0,511.0,806.0,23117.0,82.2547314191764,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.07138303701160273,1.0121598623386665,0.025961096999457735,0.3666860968476918
ID33590,33590,131,33.463497161865234,11.571696791872368,18.615633188259494,0.0,5.837619345635176,119,0.75,1,,599.2702702702703,574.0,504.0,855.0,22173.0,83.6220494077199,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.052744460917411154,0.7181014678476995,0.023375573279159567,0.4247180703652978
ID31545,31545,131,27.81903839111328,11.32165860315803,18.404683766860078,0.0,2.0603362396359444,42,0.75,1,,613.7297297297297,595.0,516.0,791.0,22708.0,65.75444583560223,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.05701662710815252,1.006935700226825,0.025961096999457735,0.3666860968476918
ID33337,33337,131,33.46932601928711,11.51664040016534,18.70967346123802,0.0,5.494229972362518,112,0.75,1,,591.081081081081,574.0,478.0,702.0,21870.0,60.95598520352314,30838.945945945947,30175.0,25681.0,36646.0,1141041.0,2916.5378347351234,0.04951522075774328,0.9149780548566243,0.0010975283783075575,0.02318468907336011
ID34106,34106,131,19.8792781829834,11.153067732188216,18.166894372196044,0.0,7.064009964466095,144,0.75,1,,577.8918918918919,576.0,492.0,712.0,21382.0,53.02870490162421,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.03245720048230566,0.6851798408353498,0.025961096999457735,0.3666860968476918
ID34362,34362,131,36.17000961303711,11.522747854475021,18.472317442832683,0.0,7.701733086258173,157,0.75,1,,595.0540540540541,579.0,462.0,747.0,22017.0,70.03092410021684,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.05165721686771892,0.8347440928274035,0.023375573279159567,0.4247180703652978
ID35133,35133,131,33.89956283569336,10.995756550018159,18.69060258769775,0.0,10.301681198179722,210,0.75,1,,604.5945945945946,588.0,485.0,826.0,22370.0,72.43597151947345,28606.18918918919,28109.0,21660.0,36646.0,1058429.0,3805.4965060629943,0.05616829833549349,0.8877651767098227,-0.013403639089375106,-0.20424991798940897
ID34625,34625,131,16.86041831970215,11.23983762676134,18.24099565212371,0.0,8.339456208050251,170,0.75,1,,558.7567567567568,550.0,503.0,665.0,20674.0,41.05240918996473,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.02731975165773337,0.7239111127626554,0.025961096999457735,0.3666860968476918
ID34884,34884,131,35.200626373291016,11.384697976952603,18.39017005471586,0.0,9.222457453608513,188,0.75,1,,621.5405405405405,595.0,499.0,1058.0,22997.0,112.77672006486351,33141.27027027027,33159.0,25681.0,41145.0,1226227.0,3831.2388310415313,0.07437152633890014,0.7630134647972041,0.04341030749828611,0.7197764943659194
ID33862,33862,131,29.759571075439453,11.23692185687486,18.24449851716831,0.0,6.23006434366107,127,0.75,1,,590.3243243243244,581.0,491.0,775.0,21842.0,65.88502361186748,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.0476233520545532,0.8146081647728338,0.025961096999457735,0.3666860968476918
ID34377,34377,131,41.835960388183594,11.033279731827403,18.295200576202884,0.0,7.848899960517883,160,0.75,1,,611.4594594594595,586.0,504.0,790.0,22624.0,81.34651347940645,29136.27027027027,29150.0,20855.0,36646.0,1078042.0,4811.89074439934,0.060934750530659956,0.8634458025184704,0.003356767570902617,0.040514835629813756
ID32330,32330,131,32.563236236572266,10.977344450350625,17.78890599664893,0.0,2.992393109947443,61,0.75,1,,610.8378378378378,594.0,502.0,831.0,22601.0,74.86562536880236,29192.864864864863,28512.0,21232.0,38829.0,1080136.0,5031.736270701983,0.05580175665708716,0.8624599975025897,-0.0119057316668414,-0.13981267735488323
ID32842,32842,131,31.07308006286621,11.045509023278218,18.667189138931867,0.0,4.022561229765415,82,0.75,1,,607.3243243243244,573.0,491.0,969.0,22471.0,101.2206209925335,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.05269786643663621,0.6007184401642718,-8.943791301649595E-4,-0.011879500645384155
ID33100,33100,131,29.04564666748047,11.121695753025111,18.504174561859003,0.0,4.611228726804256,94,0.75,1,,591.027027027027,583.0,490.0,718.0,21868.0,55.58351398595655,30551.108108108107,30175.0,21899.0,36646.0,1130391.0,3804.0353703796045,0.05218227687405062,1.0546864829019666,0.015301871287248636,0.24208159614721428
ID33613,33613,131,38.11034393310547,11.405900317610545,18.502499900683993,0.0,5.984786219894886,122,0.75,1,,609.4054054054054,587.0,509.0,781.0,22548.0,66.97199226354064,31978.135135135137,31587.0,25681.0,38442.0,1183191.0,3439.6132547631496,0.059134456110018434,1.0160909639189897,0.023375573279159567,0.4247180703652978
ID32590,32590,131,33.36977005004883,10.745741590243474,18.606241818044793,0.0,3.5810606069862843,73,0.75,1,,610.2162162162163,596.0,501.0,840.0,22578.0,79.32112480821765,27194.756756756757,25993.0,20855.0,36646.0,1006206.0,4368.841566552126,0.06227156934995071,0.9019430758970717,-0.026097965278450767,-0.33361091745734595
ID35150,35150,131,33.97377014160156,11.275197258164788,18.661656875829888,0.0,10.350736822932959,211,0.75,1,,606.8918918918919,575.0,520.0,814.0,22455.0,84.76955159063233,30551.108108108107,30175.0,21899.0,36646.0,1130391.0,3804.0353703796045,0.05975495560416698,0.8073649975816541,0.015301871287248636,0.24208159614721428
ID32079,32079,131,24.47011375427246,11.106907021828885,18.367597226134784,0.0,2.6490037366747856,54,0.75,1,,587.4594594594595,583.0,492.0,687.0,21736.0,49.53259005420045,31170.891891891893,31286.0,21899.0,38442.0,1153323.0,4302.064599854507,0.044026292970567635,1.0002706877791534,0.025961096999457735,0.3666860968476918
ID34128,34128,131,22.584095001220703,10.999820955288087,18.57316065296973,0.0,7.211176838725805,147,0.75,1,,577.2432432432432,564.0,472.0,782.0,21358.0,61.45703350282185,28940.08108108108,28512.0,20855.0,36646.0,1070783.0,4361.559566755263,0.04243208121579655,0.7646519944879131,-8.943791301649595E-4,-0.011879500645384155
